Sample Name	Protocol REF	Parameter Value[QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Parameter Value[Library QA Instrument]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Merged Sequence Data File]	Parameter Value[MultiQC Files]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data Fastqc File]	Parameter Value[Trimmed Sequence Data Multiqc File]	Parameter Value[Trimmed Report]	Parameter Value[aligned sequence data]	Parameter Value[Alignment Logs]	Parameter Value[Raw Counts Data File]	Parameter Value[Normalized Counts Data File]	Parameter Value[differential expression analysis data transformation]
Mmus_C57-6J_LVR_GC_I_Rep1_M31	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	9.3	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M31_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-GC-31.tar.gz	GeneLab raw data processing protocol	36442893	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep1_M31.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_GC_I_Rep2_M32	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	9.8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M32_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-GC-32.tar.gz	GeneLab raw data processing protocol	38631142	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_I_Rep2_M32.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	10	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M21_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-FLT-21_.tar.gz	GeneLab raw data processing protocol	43556444	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep1_M21.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	9.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M22_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-FLT-22_.tar.gz	GeneLab raw data processing protocol	30340583	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.92	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_I_Rep2_M22.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_GC_C_Rep1_M36	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	7.9	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M36_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-GC-36.tar.gz	GeneLab raw data processing protocol	37381993	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.75	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep1_M36.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_GC_C_Rep2_M37	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M37_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-GC-37.tar.gz	GeneLab raw data processing protocol	32579161	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.46	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep2_M37.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_GC_C_Rep3_M38	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M38_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-GC-38.tar.gz	GeneLab raw data processing protocol	43549720	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep3_M38.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_GC_C_Rep4_M39	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	7.9	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M39_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-GC-39.tar.gz	GeneLab raw data processing protocol	34115170	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep4_M39.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_GC_C_Rep5_M40	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	9.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M40_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-GC-40.tar.gz	GeneLab raw data processing protocol	35007400	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_GC_C_Rep5_M40.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	OSD	https://osdr.nasa.gov/	RNA 6000 Nano Kit	9.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M25_LVR_RNA	Library Construction	polyA enrichment	SINGLE	STRANDED	Agilent 2100 Bioanalyzer	Nucleic Acid Sequencing	Illumina HiSeq 3000	rna-seq	GLDS-48_rna-seq_N-FLT-25.tar.gz	GeneLab raw data processing protocol	37454380	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_R1_raw.fastq.gz	GLDS-48_rna_seq_raw_multiqc_report.html, GLDS-48_rna_seq_raw_multiqc_data.zip	GeneLab RNAseq data processing protocol	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_R1_trimmed.fastq.gz	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_R1_trimmed_fastqc.html,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_R1_trimmed_fastqc.zip	GLDS-48_rna_seq_trimmed_multiqc_report.html,GLDS-48_rna_seq_trimmed_multiqc_data.zip	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_R1_raw.fastq.gz_trimming_report.txt	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_Aligned.sortedByCoord.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_Aligned.toTranscriptome.out.bam,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_SJ.out.tab	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25_Log.final.out	GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25.genes.results,GLDS-48_rna_seq_Mmus_C57-6J_LVR_FLT_C_Rep1_M25.isoforms.results,GLDS-48_rna_seq_Unnormalized_Counts.csv	GLDS-48_rna_seq_Normalized_Counts.csv	GLDS-48_rna_seq_contrasts.csv,GLDS-48_rna_seq_differential_expression.csv,GLDS-48_rna_seq_SampleTable.csv
