Sample Name	Protocol REF	Parameter Value[QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[QA Assay]	Term Source REF	Term Accession Number	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Parameter Value[Extract Name]	Comment[Extraction Method]	Protocol REF	Parameter Value[Library Strategy]	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library Type]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Raw Data File	Parameter Value[Processed data files]
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			9.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M25_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N37_ACTTGA_L004_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			8.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M26_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N38_S37_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			9.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M27_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N39_S38_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			7.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M28_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N40_S39_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_FLT_C_Rep6_M29	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			7.8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M29_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N41_CGATGT_L005_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			9	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_FLT_M30_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N42_TGACCA_L005_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_GC_C_Rep6_M35	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			7.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M35_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N43_ACAGTG_L005_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_GC_C_Rep1_M36	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			7.9	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M36_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N44_S40_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_GC_C_Rep2_M37	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M37_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N45_ACTTGA_L005_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_GC_C_Rep3_M38	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			8	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M38_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N46_GATCAG_L005_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_GC_C_Rep4_M39	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			7.9	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M39_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N47_TAGCTT_L005_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
Mmus_C57-6J_LVR_GC_C_Rep5_M40	Nucleic Acid Extraction 2	Bioanalyzer			Agilent RNA 6000 Pico/Nano Kit			9.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR1_GC_M40_LVR_RNA	AllPrep DNA/RNA Mini Kit	Library Construction 2	Bisulfite-Seq	PCR	SINGLE	Not Available	Nucleic Acid Sequencing 2	Illumina HiSeq 2500	Whole Transcriptome Bisulfite Sequencing	GLDS-48_wtbs_N48_CTTGTA_L005_R1_001.fastq.gz	GLDS-48_wtbs_Q160526C_Service_Report.pdf, GLDS-48_wtbs_LVR-Basic_Analysis.tar.gz, GLDS-48_wtbs_LVR-Advanced_Analysis.tar.gz
